image_name,image_url,height,width,rotation_angle,annotations/0/id,annotations/0/category_name,annotations/0/area,annotations/0/creator,annotations/0/keypoints/0,annotations/0/keypoints/1,annotations/0/keypoints/2,annotations/0/keypoints/3,annotations/0/keypoints/4,annotations/0/keypoints/5,annotations/0/keypoints/6,annotations/0/keypoints/7,annotations/0/keypoints/8,annotations/0/keypoints/9,annotations/0/keypoints/10,annotations/0/keypoints/11,annotations/0/keypoints/12,annotations/0/keypoints/13,annotations/0/keypoints/14,annotations/0/keypoints/15,annotations/0/keypoints/16,annotations/0/keypoints/17,annotations/0/keypoints/18,annotations/0/keypoints/19,annotations/0/keypoints/20,annotations/0/keypoints/21,annotations/0/keypoints/22,annotations/0/keypoints/23,annotations/0/keypoints/24,annotations/0/keypoints/25,annotations/0/keypoints/26,annotations/0/keypoints/27,annotations/0/keypoints/28,annotations/0/keypoints/29
1.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea0c21126500b57d91c1a.png,480,640,0,62aea81fbb1886000cae687a,acupoints,0,nguyenhoainamfs0502@gmail.com,274,195,2,314,150,2,364,168,2,397,183,2,420,175,2,432,154,2,450,211,2,390,101,2,343,88,2,289,110,2
10.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea4111126500b57d9213d.png,480,640,0,62aea82cbb1886000cae687b,acupoints,0,nguyenhoainamfs0502@gmail.com,243,183,2,271,145,2,318,151,2,349,163,2,375,155,2,408,139,2,431,179,2,381,102,2,328,86,2,276,108,2
100.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea1801126500b57d91d45.png,480,640,0,62aea838bb1886000cae687c,acupoints,0,nguyenhoainamfs0502@gmail.com,295,213,2,337,173,2,395,196,2,425,212,2,441,203,2,454,184,2,463,235,2,411,106,2,360,94,2,322,104,2
1000.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea4241126500b57d9215b.png,480,640,0,62aea853bb1886000cae687e,acupoints,0,nguyenhoainamfs0502@gmail.com,332,324,2,343,267,2,401,264,2,441,258,2,456,227,2,474,177,2,513,205,2,398,113,2,347,144,2,312,191,2
1001.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea11a1126500b57d91ca4.png,480,640,0,62aea89cbb1886000cae6881,acupoints,0,nguyenhoainamfs0502@gmail.com,343,302,2,360,252,2,417,246,2,456,247,2,473,222,2,495,172,2,530,195,2,424,106,2,371,135,2,329,173,2
1002.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea11b1126500b57d91ca5.png,480,640,0,62aea8a9bb1886000cae6882,acupoints,0,nguyenhoainamfs0502@gmail.com,337,198,2,375,159,2,420,182,2,450,198,2,479,187,2,529,168,2,549,215,2,497,96,2,450,78,2,397,101,2
1003.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea11b1126500b57d91ca6.png,480,640,0,62aea8b5bb1886000cae6883,acupoints,0,nguyenhoainamfs0502@gmail.com,326,179,2,352,147,2,404,166,2,434,186,2,464,181,2,511,173,2,527,218,2,496,105,2,447,80,2,380,100,2
1004.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea1171126500b57d91c9f.png,480,640,0,62aea8bebb1886000cae6884,acupoints,0,nguyenhoainamfs0502@gmail.com,319,182,2,349,145,2,393,166,2,424,183,2,451,176,2,502,166,2,520,202,2,486,104,2,442,83,2,386,94,2
1005.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea3081126500b57d91fa4.png,480,640,0,62aea8c7bb1886000cae6885,acupoints,0,nguyenhoainamfs0502@gmail.com,311,188,2,337,147,2,382,164,2,418,181,2,448,173,2,492,157,2,513,200,2,475,100,2,423,78,2,366,101,2
1006.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea2fb1126500b57d91f93.png,480,640,0,62aea8d4bb1886000cae6886,acupoints,0,nguyenhoainamfs0502@gmail.com,309,188,2,335,150,2,384,166,2,416,185,2,444,174,2,487,159,2,511,196,2,470,98,2,416,84,2,358,100,2
1007.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea3021126500b57d91f9c.png,480,640,0,62aea8ddbb1886000cae6887,acupoints,0,nguyenhoainamfs0502@gmail.com,257,211,2,269,166,2,311,173,2,340,183,2,367,170,2,412,138,2,452,168,2,401,93,2,348,87,2,296,112,2
1008.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea2451126500b57d91e78.png,480,640,0,62aea8e7bb1886000cae6888,acupoints,0,nguyenhoainamfs0502@gmail.com,209,238,2,212,193,2,257,188,2,290,187,2,311,167,2,343,131,2,386,156,2,319,91,2,266,99,2,229,131,2
1009.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea2441126500b57d91e77.png,480,640,0,62aea8f1bb1886000cae6889,acupoints,0,nguyenhoainamfs0502@gmail.com,201,248,2,200,200,2,252,188,2,284,189,2,308,163,2,333,131,2,376,156,2,297,96,2,240,109,2,209,147,2
101.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea2b21126500b57d91f26.png,480,640,0,62aea8febb1886000cae688a,acupoints,0,nguyenhoainamfs0502@gmail.com,293,215,2,337,170,2,396,195,2,423,212,2,449,199,2,456,178,2,468,215,2,415,103,2,363,97,2,319,110,2
1010.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea2461126500b57d91e79.png,480,640,0,62aea909bb1886000cae688b,acupoints,0,nguyenhoainamfs0502@gmail.com,184,261,2,183,206,2,231,195,2,264,194,2,281,169,2,305,131,2,346,148,2,259,98,2,208,116,2,178,152,2
1011.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea2431126500b57d91e74.png,480,640,0,62aea916bb1886000cae688c,acupoints,0,nguyenhoainamfs0502@gmail.com,228,157,2,268,115,2,304,140,2,329,160,2,365,158,2,416,156,2,424,195,2,396,90,2,346,65,2,289,75,2
1012.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea3011126500b57d91f9b.png,480,640,0,62aea921bb1886000cae688d,acupoints,0,nguyenhoainamfs0502@gmail.com,236,144,2,267,113,2,307,138,2,334,159,2,364,157,2,415,157,2,424,205,2,404,91,2,358,64,2,299,73,2
1016.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea3d31126500b57d920e0.png,480,640,0,62aea92cbb1886000cae688e,acupoints,0,nguyenhoainamfs0502@gmail.com,188,139,2,215,97,2,260,111,2,286,127,2,312,119,2,361,115,2,378,158,2,343,59,2,291,43,2,237,57,2
1017.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea2fe1126500b57d91f96.png,480,640,0,62aea939bb1886000cae688f,acupoints,0,nguyenhoainamfs0502@gmail.com,177,138,2,200,98,2,244,111,2,267,121,2,296,114,2,340,98,2,368,138,2,325,57,2,271,38,2,221,60,2
1018.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea3451126500b57d92007.png,480,640,0,62aea945bb1886000cae6890,acupoints,0,nguyenhoainamfs0502@gmail.com,169,146,2,183,103,2,228,107,2,254,117,2,286,108,2,328,92,2,349,120,2,306,49,2,258,39,2,208,57,2
1019.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea33a1126500b57d91ff4.png,480,640,0,62aea94ebb1886000cae6891,acupoints,0,nguyenhoainamfs0502@gmail.com,159,155,2,171,107,2,214,112,2,239,122,2,268,107,2,305,87,2,337,115,2,285,45,2,232,40,2,188,67,2
102.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea2b11126500b57d91f24.png,480,640,0,62aea966bb1886000cae6892,acupoints,0,nguyenhoainamfs0502@gmail.com,291,210,2,331,171,2,391,195,2,420,212,2,444,202,2,451,178,2,465,230,2,411,103,2,364,95,2,307,111,2
1020.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea3411126500b57d92000.png,480,640,0,62aea970bb1886000cae6893,acupoints,0,nguyenhoainamfs0502@gmail.com,147,163,2,158,114,2,201,114,2,228,127,2,253,109,2,287,83,2,326,113,2,273,46,2,222,41,2,177,69,2
1021.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea3471126500b57d92009.png,480,640,0,62aea97bbb1886000cae6895,acupoints,0,nguyenhoainamfs0502@gmail.com,139,167,2,149,121,2,190,119,2,218,124,2,240,108,2,277,81,2,313,109,2,261,52,2,207,47,2,162,83,2
1022.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea3391126500b57d91ff3.png,480,640,0,62aea986bb1886000cae6896,acupoints,0,nguyenhoainamfs0502@gmail.com,137,166,2,146,118,2,183,118,2,211,123,2,238,108,2,271,86,2,304,105,2,255,53,2,207,49,2,164,78,2
1023.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea2471126500b57d91e7c.png,480,640,0,62aea994bb1886000cae6897,acupoints,0,nguyenhoainamfs0502@gmail.com,110,155,2,137,114,2,174,130,2,203,146,2,229,136,2,271,125,2,292,157,2,252,76,2,205,58,2,156,77,2
1024.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea2481126500b57d91e7d.png,480,640,0,62aea99fbb1886000cae6899,acupoints,0,nguyenhoainamfs0502@gmail.com,111,163,2,134,126,2,177,140,2,202,153,2,234,143,2,276,134,2,295,166,2,256,82,2,207,62,2,160,79,2
1025.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea3311126500b57d91fe6.png,480,640,0,62aea9adbb1886000cae689a,acupoints,0,nguyenhoainamfs0502@gmail.com,115,173,2,139,139,2,179,155,2,205,168,2,233,162,2,276,147,2,300,177,2,269,91,2,217,72,2,165,88,2
1026.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea3d51126500b57d920e2.png,480,640,0,62aea9dabb1886000cae689d,acupoints,0,nguyenhoainamfs0502@gmail.com,113,180,2,143,144,2,180,163,2,206,177,2,235,166,2,276,150,2,302,180,2,270,96,2,215,78,2,159,98,2
1027.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea24b1126500b57d91e82.png,480,640,0,62aea9e6bb1886000cae689e,acupoints,0,nguyenhoainamfs0502@gmail.com,102,192,2,117,155,2,158,171,2,182,185,2,209,178,2,259,159,2,290,189,2,264,98,2,208,84,2,157,101,2
1028.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea24b1126500b57d91e81.png,480,640,0,62aea9efbb1886000cae689f,acupoints,0,nguyenhoainamfs0502@gmail.com,51,206,2,61,160,2,107,180,2,129,191,2,165,180,2,213,153,2,247,186,2,219,92,2,153,81,2,97,102,2
1029.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea24c1126500b57d91e83.png,480,640,0,62aea9f8bb1886000cae68a1,acupoints,0,nguyenhoainamfs0502@gmail.com,33,188,2,55,153,2,99,169,2,130,186,2,157,176,2,212,152,2,241,183,2,206,90,2,139,78,2,80,102,2
103.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea2bd1126500b57d91f35.png,480,640,0,62aeaa03bb1886000cae68a2,acupoints,0,nguyenhoainamfs0502@gmail.com,231,192,2,260,157,2,305,177,2,332,190,2,363,178,2,400,155,2,431,186,2,379,93,2,324,81,2,273,102,2
1030.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea24d1126500b57d91e85.png,480,640,0,62aeaa0cbb1886000cae68a3,acupoints,0,nguyenhoainamfs0502@gmail.com,36,185,2,61,145,2,108,166,2,137,181,2,164,171,2,212,152,2,241,182,2,207,93,2,142,75,2,82,94,2
1031.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea2511126500b57d91e8c.png,480,640,0,62aeaa17bb1886000cae68a4,acupoints,0,nguyenhoainamfs0502@gmail.com,43,178,2,68,141,2,115,159,2,144,174,2,174,166,2,222,154,2,249,184,2,211,92,2,149,70,2,94,89,2
1032.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea3ce1126500b57d920d8.png,480,640,0,62aeaa23bb1886000cae68a5,acupoints,0,nguyenhoainamfs0502@gmail.com,47,166,2,81,134,2,128,158,2,153,173,2,185,163,2,235,152,2,252,185,2,214,91,2,155,67,2,99,84,2
1033.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea3c71126500b57d920cc.png,480,640,0,62aeaa2fbb1886000cae68a7,acupoints,0,nguyenhoainamfs0502@gmail.com,55,169,2,92,125,2,136,149,2,166,171,2,198,166,2,241,151,2,257,195,2,222,89,2,161,62,2,100,85,2
1034.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea3da1126500b57d920e9.png,480,640,0,62aeaa3bbb1886000cae68a8,acupoints,0,nguyenhoainamfs0502@gmail.com,84,146,2,121,107,2,170,134,2,198,156,2,226,155,2,267,151,2,275,199,2,248,97,2,211,72,2,156,72,2
